team,off_epa,def_epa
ARI,0.06708086857727305,0.05562410964666033
ATL,0.03419605688855633,0.06114870386302852
BAL,0.21902256761482858,-0.03866189301093081
BUF,0.18950019448053643,0.00859878937622492
CAR,-0.05317863688342177,0.1595375616122954
CHI,-0.08190714149436405,0.0058921256787626015
CIN,0.09017814434530956,0.03727410399659489
CLE,-0.18331938955521823,0.01744670086315355
DAL,-0.10942523659310062,0.08300170909428821
DEN,0.0145923487697827,-0.09058327249732397
DET,0.16452450872852098,-0.03887205639288566
GB,0.0705723432577177,-0.06121277017702158
HOU,-0.045036365246359705,-0.08188256858895805
IND,-0.056828242218978135,0.004307488041538006
JAX,-0.020142337043403496,0.12913458765574481
KC,0.06168384395357488,0.02481331193937377
LA,0.010130347567944842,0.020249200011990723
LAC,0.010851564895418685,-0.06375817948808778
LV,-0.14268489226657727,0.02139693190772127
MIA,-0.0389293315391862,-0.021976469952547276
MIN,-0.00988557205296213,-0.08070380856446503
NE,-0.0832119781867414,0.06965898483531346
NO,-0.0568752017925953,0.04385071931194424
NYG,-0.10710323382217238,0.06306099212534372
NYJ,-0.013079371897452882,0.023540099499742152
PHI,0.11878459522348166,-0.10414444052351046
PIT,-0.028073147301514164,0.002015498342362394
SEA,-0.029842436537466422,-0.011866435561123156
SF,0.0687446995083062,0.04116116068402205
TB,0.12919318139537897,0.02113663811830646
TEN,-0.11610107242169365,0.029879893197048715
WAS,0.13221251885056448,0.03908355523528795
